cat_id,name,breed,age_years,weight_kg,color,gender,vaccinated,neutered,microchipped,owner_city,diet_type,health_status,last_vet_visit,metric_15,category_16,value_17,metric_18,category_19,value_20,metric_21,category_22,value_23,metric_24,category_25,value_26,metric_27,category_28,value_29,metric_30,category_31,value_32,metric_33,category_34,value_35,metric_36,category_37,value_38,metric_39,category_40,value_41,metric_42,category_43,value_44,metric_45,category_46,value_47,metric_48,category_49
1201,Shadow,Persian,21,3.81,Mixed,Female,Y,No,No,Tokyo,,Sick,2024/01/05,64.6,A,20.0,38.85, ,83.0,40.41,b,11.0,17.71,A,31.0,42.18,a,42.0,53.49,b,74.0,-5.03,a,10.0,49.4,A,11.0,63.0, ,42.0,35.89,D,51.0,76.13,Unknown,98.0,61.29,D
1202,Milo,British Shorthair ,21,1.05,Brown,Unknown,No,NO,Yes,,Wet,Checkup Needed,Jan 5 2024,53.53,a,98.0,74.14,B,58.0,73.84,a,98.0,41.72,b,37.0,69.26,b,7.0,69.61,A,93.0,34.29,D,96.0,65.46,B,21.0,45.21,a,,27.59, ,,93.37,B,54.0,31.33,D
1203,Luna,,22,5.05,Gray,Female,N,No,No,Paris,Wet,Healthy,Jan 5 2024,47.98,B,93.0,30.3,A,,57.87,Unknown,,5.51, ,19.0,35.31,D,64.0,55.97,Unknown,62.0,35.01,D,15.0,68.17,A,53.0,59.9,B,67.0,53.28,Unknown,12.0,25.96,C,35.0,64.17, 
1204,Luna,Maine Coon,23,6.35,Black,F,No,,No, london,Mixed,Sick,2024-01-05,22.09,B,24.0,49.17,b,64.0,72.87,a,97.0,76.23,D,7.0,87.21,C,7.0,39.26,b,3.0,45.51,Unknown,6.0,51.95,D,70.0,48.83,Unknown,,58.5,B,,46.69,D,8.0,39.88,a
1205,Lucy,Unknown,3,1.53,black ,Male,Yes,,Yes,Tokyo,Wet,healthy,05/01/2024,47.69,B,23.0,33.5,a,3.0,87.51,A,77.0,95.1,D,80.0,71.19,a,56.0,48.11,b,21.0,68.72,b,98.0,41.27,A,33.0,77.2,B,81.0,53.21,C,5.0,28.38,Unknown,41.0,50.0,Unknown
1206,Oreo,british shorthair,20,5.88,Black,,yes,NO,,Berlin,,,Jan 5 2024,47.66,Unknown,13.0,84.03,a,36.0,85.16,a,9.0,58.65,A,,42.66,C,97.0,63.76,Unknown,31.0,59.7,D,7.0,37.35,A,96.0,26.79,a,63.0,-6.07,b,59.0,65.51,A,89.0,41.02, 
1207,Bella,Unknown,15,4.23,Black,M,N,,Unknown,TOKYO,Dry,Checkup Needed,2024/01/05,53.66,C,21.0,54.21,Unknown,75.0,30.18,Unknown,72.0,80.09,C,65.0,36.77,Unknown,48.0,73.43,Unknown,66.0,54.46,C,87.0,85.86,b,30.0,69.41,B,60.0,31.44,C,22.0,47.53,B,68.0,33.94, 
1208,Kitty,SPHYNX,14,1.81,White,Unknown,Y,No,Unknown,Berlin,wet,,05/01/2024,66.1,A,31.0,25.79,a,,54.09,C,84.0,47.7,A,86.0,error,B,44.0,49.99,D,85.0,61.62,C,20.0,52.75,D,,92.18,a,84.0,51.61,C,80.0,51.25,b,43.0,30.35,B
1209,Leo,British Shorthair,14,3.29,Gray,,no,NO,,TOKYO,,Sick,,28.97,D,40.0,49.26,Unknown,,28.16,Unknown,51.0,26.77, ,35.0,28.9,C,64.0,31.78,B,21.0,1.74,D,72.0,39.55, ,25.0,14.32,a,1.0,38.6,C,94.0,38.96,b,,26.58,C
1210,Kitty,RAGDOLL,-2,2.66,Mixed,,,Yes,,TOKYO,dry,Sick,2024-01-05,74.55,D,34.0,42.39,Unknown,5.0,35.79,Unknown,61.0,62.64,D,94.0,79.16,a,,48.9,D,30.0,67.29,b,99.0,8.97,C,9.0,18.15,a,1.0,46.17,a,48.0,75.01,b,24.0,25.44, 
1211,Tiger,Ragdoll ,16,6.27, WHITE,F,no,NO,,TOKYO,wet,Checkup Needed,Jan 5 2024,40.27,D,89.0,55.06,D,38.0,54.92,Unknown,25.0,74.17,C,4.0,72.24,b,34.0,53.57,B,9.0,69.54,D,83.0,57.38,b,,59.53,D,8.0,47.57,C,,9.04, ,36.0,51.88,D
1212,Lucy,Unknown,1,4.19,Brown,,no,No,No,Sydney,Dry,healthy,2024-01-05,68.38,Unknown,53.0,error,b,25.0,77.59,b,80.0,46.39,b,96.0,69.19,a,61.0,57.8,C,50.0,23.16,Unknown,66.0,48.26, ,24.0,64.28,A,11.0,101.83,b,47.0,,A,25.0,41.79,Unknown
1213,Lucy,Abyssinian ,-1,7.25,,female,Y,No,Yes, london,wet,,05/01/2024,56.21,a,64.0,40.49, ,49.0,74.5,a,44.0,34.16,C,43.0,55.83,B,94.0,50.32,C,44.0,17.07, ,18.0,33.63,C,2.0,44.06,b,55.0,76.12, ,22.0,37.91,B,62.0,61.39,B
1214,Milo,PERSIAN,4,4.83, WHITE,Male,no,No,Yes,TOKYO,Wet,Healthy,2024/01/05,48.23, ,37.0,39.29,a,3.0,79.6,Unknown,,50.33, ,82.0,46.93,a,68.0,87.9,Unknown,83.0,46.98,A,,35.5,a,12.0,29.99,b,9.0,60.34,b,76.0,61.2,Unknown,5.0,N/A,Unknown
1215,Simba,Abyssinian ,18,3.75,White,F,N,Yes,Yes, london,wet,Healthy,Jan 5 2024,31.83,D,73.0,25.83,A,87.0,94.5, ,9.0,41.41,A,66.0,39.74,D,65.0,46.81,D,,45.96, ,33.0,93.09,C,22.0,21.02,b,39.0,37.95,b,73.0,52.76,B,44.0,66.15,A
1216,Simba,persian,-2,1.47, WHITE,female,yes,No,Unknown,Tokyo,dry,Checkup Needed,2024-01-05,47.68, ,25.0,82.05,D,1.0,79.49,D,87.0,52.57,D,82.0,31.19,Unknown,62.0,54.87,Unknown,,30.1,C,79.0,28.42,D,35.0,90.41,b,96.0,38.15,Unknown,24.0,21.04,a,83.0,-11.9, 
1217,Chloe,,6,4.24,White,female,N,No,Unknown,Tokyo,wet,SICK,,45.9,D,67.0,55.12,D,98.0,25.41,C,74.0,35.09,D,84.0,37.96, ,68.0,46.6,B,,36.87,Unknown,60.0,43.6,Unknown,57.0,40.33,Unknown,18.0,41.29,B,95.0,52.57,D,16.0,75.34,A
1218,Luna,Unknown,22,5.28,black ,M,yes,YES,Unknown,,Mixed,Sick,,41.88, ,51.0,59.62,C,3.0,73.97,Unknown,28.0,59.11,Unknown,98.0,55.89,D,76.0,107.09,b,,21.44,a,88.0,49.16,A,63.0,3.26,b,79.0,52.09,Unknown,14.0,38.08,A,15.0,48.44,C
1219,Simba,SPHYNX,4,4.33,Orange,M,yes,No,No,New York,wet,,,48.8,A,99.0,61.0, ,98.0,44.01,C,20.0,48.11, ,,42.56,Unknown,52.0,91.64,B,76.0,37.7,C,95.0,47.25,D,94.0,38.23,a,95.0,57.16,b,10.0,43.57,b,,67.0, 
1220,Kitty,MAINE COON,9,2.56, WHITE,Unknown,No,No,Yes,Sydney,dry,healthy,,53.61,Unknown,70.0,30.17, ,85.0,35.4,C,40.0,57.05, ,43.0,31.29, ,79.0,43.35,a,65.0,38.3,Unknown,81.0,55.54,a,71.0,83.99,A,67.0,28.97,Unknown,,76.28,Unknown,80.0,51.68,D
1221,Luna,Siamese ,2,3.21,Gray,Unknown,,,No,,Wet,Sick,2024-01-05,84.36,A,66.0,69.26,C,76.0,64.55,Unknown,61.0,29.4,B,46.0,23.11,D,56.0,65.0, ,8.0,66.05,A,12.0,-22.12,D,65.0,50.17,B,12.0,62.11,Unknown,,55.24, ,79.0,36.14,C
1222,Loki, Abyssinian,19,5.03, WHITE,M,,Yes,Unknown, london,Dry,,2024-01-05,62.08, ,85.0,35.67,Unknown,14.0,53.1,B,49.0,45.16,C,52.0,68.85,C,54.0,70.47,b,92.0,39.96,B,92.0,63.77,B,12.0,28.86,D,69.0,error,a,,53.24,A,87.0,30.17, 
1223,Oliver,SIAMESE,3,3.95,Mixed,M,Yes,Yes,No,Berlin,Mixed,SICK,,28.23,D,3.0,70.2,b,,59.72,D,46.0,44.62,B,30.0,36.98, ,62.0,42.16,D,85.0,80.03,Unknown,81.0,41.55,D,80.0,46.64, ,35.0,35.24,B,2.0,72.5,D,6.0,N/A,b
1224,Simba,Siamese ,5,3.43,,male,Yes,,Yes,Sydney,Mixed,healthy,,71.12,B,8.0,39.95,C,,55.06, ,49.0,40.3,C,,66.6,a,72.0,34.3,C,21.0,53.87,A,91.0,44.45,b,67.0,65.56,B,46.0,68.05,D,19.0,60.54,A,12.0,40.6,a
1225,Bella,,21,4.91,Mixed,Male,Y,Yes,No,New York,dry,Sick,Jan 5 2024,43.01,A,45.0,38.27,B,24.0,63.02,A,,39.65,b,0.0,43.1, ,32.0,70.92,B,,50.51,C,48.0,64.66,B,53.0,63.16, ,96.0,34.91,a,17.0,72.56,a,90.0,76.44,b
1226,Oreo, Maine Coon,23,5.46,White,female,Y,YES,No,Tokyo,,Checkup Needed,2024/01/05,14.88, ,35.0,21.98,b,72.0,7.89,B,43.0,71.49,D,86.0,62.32,Unknown,86.0,56.44,B,,38.12, ,8.0,38.11,A,46.0,50.3,Unknown,52.0,25.93,C,,5.53,B,29.0,48.5,B
1227,Oliver,Persian ,17,5.26,Mixed,male,,YES,,London,Dry,SICK,2024/01/05,12.32,B,20.0,48.97,Unknown,55.0,6.31,a,18.0,82.08,b,,58.11, ,,42.97, ,,44.14, ,24.0,67.78, ,,16.88, ,,65.6,A,88.0,68.19,B,56.0,63.43,Unknown
1228,Nala,BENGAL,8,2.47,Black,,Yes,YES,Unknown,Paris,Dry,Sick,2024/01/05,27.28,Unknown,62.0,53.45,Unknown,21.0,33.32,C,26.0,21.78,B,64.0,36.13,C,57.0,70.81,D,52.0,64.97,a,57.0,29.36,D,83.0,66.07,Unknown,48.0,51.46,Unknown,51.0,25.29, ,45.0,N/A,D
1229,Chloe,Siamese ,3,4.95,Mixed,female,No,YES,,New York,wet,Sick,,24.18,C,3.0,30.86,b,12.0,60.35,B,46.0,73.6,Unknown,93.0,70.33,C,56.0,25.68,C,,39.87,a,,75.81, ,32.0,28.74,A,2.0,20.16,D,15.0,34.98,b,93.0,62.16,b
1230,Bella,bengal,3,7.65,,,no,Yes,,Sydney,dry,Checkup Needed,2024/01/05,58.18,C,18.0,38.09,B,51.0,48.93,b,15.0,9.79,b,47.0,62.76,B,9.0,64.61,a,26.0,29.63,Unknown,78.0,27.11,b,89.0,65.97,C,50.0,51.56,A,79.0,unknown,A,66.0,38.61,a
1231,Kitty, Bengal,2,3.28,black ,,yes,NO,Yes,Toronto,Dry,SICK,,31.36,B,87.0,42.19,D,19.0,52.07,C,70.0,55.07,D,53.0,41.29,a,36.0,40.69,a,28.0,28.3,b,53.0,N/A,B,81.0,93.69,Unknown,17.0,55.05, ,45.0,44.04,D,12.0,70.55,A
1232,Kitty,Bengal ,8,4.49,Brown,Male,Y,NO,Yes,Paris,wet,Checkup Needed,05/01/2024,32.43,C,80.0,52.63,a,60.0,68.66,A,36.0,52.0,B,,21.49, ,,42.68,b,58.0,14.54,a,7.0,58.3,a,,60.7,a,14.0,42.98,a,25.0,42.21, ,86.0,35.39,D
1233,Loki,SCOTTISH FOLD,23,7.1,White,,,NO,No,,,Checkup Needed,2024-01-05,20.6,B,28.0,27.69,D,63.0,6.55,a,35.0,52.43,B,20.0,24.95,D,13.0,72.3,b,92.0,47.58,D,54.0,46.72,A,67.0,83.68,a,59.0,56.18,a,,80.57,D,43.0,,Unknown
1234,Milo,MAINE COON,10,6.63,Orange,Male,yes,NO,, london,Wet,Healthy,2024-01-05,unknown,C,36.0,69.91, ,90.0,30.53,D,92.0,48.79,A,78.0,65.71,C,,31.77,a,77.0,35.33,A,2.0,78.61,a,,36.93,Unknown,26.0,37.21,C,35.0,36.13, ,39.0,61.78,C
1235,Bella,Ragdoll ,14,2.79,Brown,Male,No,Yes,No, london,,,,43.86, ,13.0,39.1, ,29.0,39.51,D,,63.79,b,19.0,19.12,a,,17.68,D,37.0,67.61,a,80.0,57.4,A,,68.18,Unknown,,49.19,b,83.0,44.25,D,85.0,44.52,b
1236,Lucy,bengal,23,3.38,Black,Female,Yes,NO,Unknown,New York,dry,Checkup Needed,,16.77,b,23.0,27.76, ,86.0,11.62,a,65.0,81.16,C,51.0,47.24,C,8.0,90.47, ,67.0,35.8,B,94.0,46.13,B,12.0,36.49,b,59.0,50.03,A,43.0,72.61,Unknown,61.0,57.68, 
1237,Loki,,3,5.92, WHITE,female,Y,No,Yes,New York,dry,healthy,2024/01/05,10.28,a,18.0,38.13,B,66.0,45.26,B,90.0,38.78,A,57.0,14.31,B,5.0,59.66,B,16.0,40.02,B,,50.37,D,52.0,88.34,C,3.0,32.82,a,8.0,30.25,C,60.0,68.54,b
1238,Bella,ragdoll,11,4.53,,Female,N,YES,Yes, london,dry,Checkup Needed,Jan 5 2024,26.29,D,10.0,45.28,B,49.0,74.04,B,41.0,32.81,Unknown,14.0,43.29,B,62.0,53.01,Unknown,64.0,24.06, ,,34.89,D,13.0,48.69,Unknown,30.0,43.47,D,21.0,21.72,C,22.0,38.3,b
1239,Bella,Sphynx ,9,4.54,Brown,female,yes,No,No,New York,Dry,SICK,05/01/2024,45.07,C,43.0,54.31,Unknown,45.0,57.74,C,16.0,47.83,D,15.0,76.71,a,68.0,78.18,b,90.0,12.08,D,33.0,52.61,Unknown,96.0,77.6,A,98.0,50.06,b,41.0,21.17,D,10.0,57.36, 
1240,Kitty,Persian,20,4.21,black ,male,Yes,,No, london,wet,Sick,,38.57,Unknown,37.0,71.48,Unknown,54.0,79.72,D,,89.55,B,23.0,47.41,D,,47.96,C,41.0,65.39,a,54.0,64.77,b,24.0,38.92,b,75.0,80.94,Unknown,31.0,-3.35,b,60.0,89.24, 
1241,Leo,RAGDOLL,8,7.41,Mixed,Unknown,no,YES,No,New York,Dry,healthy,Jan 5 2024,43.74,Unknown,99.0,69.39,B,86.0,32.87,Unknown,,65.31,B,34.0,85.93,A,,36.77,D,52.0,30.3,C,93.0,52.3,A,47.0,54.72,a,8.0,22.19,A,61.0,68.49,b,,52.24,Unknown
1242,Nala,Ragdoll,5,2.78,,M,no,Yes,Unknown,,wet,Healthy,Jan 5 2024,69.19,b,99.0,40.73,b,11.0,40.44, ,63.0,37.43,Unknown,18.0,50.61,a,76.0,45.74, ,20.0,48.58,D,13.0,82.63,a,19.0,46.23,B,31.0,66.14,Unknown,55.0,6.7,B,,72.2, 
1243,Milo,Siamese ,-2,4.23,White,male,Y,,,Tokyo,Dry,Sick,,49.01, ,72.0,70.02,a,,35.61,b,98.0,35.91,a,,65.54,C,86.0,43.64,D,24.0,35.86,A,74.0,57.92,Unknown,42.0,71.2,a,57.0,59.97,a,94.0,81.13,a,35.0,43.62,A
1244,Loki,PERSIAN,22,6.32, WHITE,female,no,Yes,Unknown,TOKYO,wet,Checkup Needed,Jan 5 2024,66.09,D,45.0,104.42,Unknown,90.0,17.41,D,40.0,77.17,A,50.0,112.98,A,89.0,28.42,B,16.0,26.97,C,49.0,14.93,C,77.0,44.82,C,83.0,60.77,b,40.0,32.18,C,47.0,48.22,Unknown
1245,Oliver,siamese,14,3.66,Brown,M,Yes,No,No,TOKYO,wet,Sick,,65.15, ,45.0,37.8,C,39.0,26.35, ,62.0,33.92,Unknown,63.0,44.88,B,40.0,40.49,a,94.0,30.58,C,20.0,46.22,a,24.0,58.39,A,77.0,76.76,b,11.0,30.53,C,74.0,36.12,B
1246,Shadow,sphynx,21,2.59, WHITE,,No,YES,Yes,London,,SICK,2024/01/05,69.99,b,61.0,23.6,a,68.0,29.68,a,34.0,60.83, ,96.0,28.64, ,16.0,84.89,Unknown,3.0,45.56,a,0.0,14.94,C,25.0,26.0,a,77.0,46.01,C,30.0,88.03,B,,22.49,Unknown
1247,Simba,Abyssinian ,22,6.68,Gray,M,N,,Unknown,New York,wet,Checkup Needed,,51.54, ,80.0,50.66,a,94.0,43.07,b,14.0,33.54,Unknown,,35.51,C,34.0,46.38, ,62.0,60.22,D,69.0,70.1,Unknown,46.0,61.61,Unknown,75.0,51.41, ,65.0,42.98,D,52.0,-0.19,C
1248,Loki,,22,2.35,Black,M,N,,,New York,dry,Sick,,54.27,B,,50.51,b,52.0,46.64,D,,31.77, ,58.0,25.48,B,19.0,84.68,A,65.0,59.36,A,9.0,81.37,A,30.0,21.68,A,96.0,51.32,a,3.0,79.58,a,4.0,79.29,B
1249,Milo,Scottish Fold,23,5.05,White,male,No,No,No,,dry,,05/01/2024,54.53,C,13.0,70.01,D,22.0,55.19,A,65.0,58.2,D,18.0,63.86,C,91.0,52.15,a,0.0,66.55,b,55.0,11.56,Unknown,66.0,84.68,b,36.0,47.99,A,95.0,32.86,C,69.0,31.17,D
1250,Nala,British Shorthair ,18,4.19,Black,M,Y,NO,Unknown,New York,wet,Checkup Needed,2024-01-05,33.32,a,71.0,58.14,Unknown,46.0,17.9,Unknown,2.0,26.7,Unknown,74.0,50.42,Unknown,35.0,38.96,B,69.0,40.19,C,96.0,49.28,D,96.0,27.79,B,96.0,68.02,C,34.0,32.04,a,96.0,72.86,a
1251,Oreo,,12,6.18,,female,Yes,NO,Unknown,TOKYO,Mixed,SICK,2024/01/05,47.88,A,83.0,64.37,C,52.0,54.39,a,81.0,31.81,b,79.0,53.55,a,71.0,71.41,A,9.0,48.62,b,74.0,89.91,a,,51.44,B,48.0,70.09,D,83.0,62.38,a,83.0,53.61, 
1252,Oliver,British Shorthair,-2,6.2,Brown,Unknown,yes,Yes,Unknown,Sydney,Dry,,Jan 5 2024,78.43,A,14.0,63.66,A,,43.08,Unknown,69.0,52.56,C,17.0,39.92,b,3.0,45.48,C,16.0,66.87, ,16.0,41.42,A,,49.81,a,74.0,76.07,b,77.0,45.17,D,24.0,66.61,Unknown
1253,Leo,Siamese ,12,4.58,Black,female,,,,New York,dry,SICK,05/01/2024,52.85, ,,30.69,b,67.0,70.19,a,11.0,48.05,b,,44.82,D,44.0,57.96,D,,29.22,D,4.0,33.64,B,8.0,37.6,Unknown,77.0,10.98,Unknown,68.0,79.99,C,56.0,73.79,D
1254,Leo,SCOTTISH FOLD,1,4.09, WHITE,female,no,No,Yes,Berlin,Mixed,healthy,Jan 5 2024,76.72,Unknown,4.0,75.86, ,48.0,51.36,A,97.0,77.77,C,,72.35,D,99.0,20.37,C,89.0,26.91,a,81.0,45.13,C,99.0,53.38,D,,59.28, ,4.0,68.8,B,,78.89,C
1255,Tiger,MAINE COON,20,2.96, WHITE,Male,Y,Yes,Yes, london,Dry,Checkup Needed,05/01/2024,47.52,b,24.0,31.93,a,72.0,85.09,B,88.0,71.84,a,8.0,40.55,A,64.0,25.67,a,,45.05,B,,60.96,a,31.0,74.87,B,48.0,64.24,B,84.0,22.6,Unknown,25.0,57.36,Unknown
1256,Lucy,Unknown,13,5.4,black ,male,N,,Yes,New York,wet,Sick,2024/01/05,52.97,C,78.0,33.04,A,89.0,48.31,b,91.0,21.74,Unknown,15.0,76.31,A,49.0,79.09,a,60.0,53.98,C,88.0,55.63,Unknown,75.0,78.86,Unknown,54.0,18.43,D,54.0,47.82,b,88.0,13.21, 
1257,Tiger,Unknown,6,5.1,Orange,M,no,NO,No,New York,dry,SICK,Jan 5 2024,43.15,C,29.0,69.82,a,63.0,42.41,C,3.0,54.02,A,91.0,59.24,b,84.0,39.6,A,69.0,unknown,b,,37.48,b,82.0,47.81,b,98.0,68.23,C,36.0,47.96,Unknown,,67.47,a
1258,Loki,Sphynx,1,6.11,Mixed,F,N,NO,Yes,Sydney,wet,healthy,,50.6,Unknown,54.0,44.57,a,44.0,54.29,D,21.0,32.79,Unknown,,62.85, ,13.0,61.88,C,,61.27,D,7.0,34.04, ,24.0,53.85,C,27.0,41.92,D,22.0,1.72,C,86.0,42.66, 
1259,Milo,,2,5.51,Black,female,No,YES,,Paris,Wet,Healthy,,42.24,C,17.0,79.95,D,66.0,N/A,A,60.0,64.3,D,63.0,39.13,b,13.0,63.77, ,99.0,47.55,Unknown,7.0,58.53,C,0.0,86.62,C,,57.58,a,21.0,53.02, ,61.0,70.94,B
1260,Chloe,Unknown,18,2.9,Gray,M,Yes,YES,No,,Wet,,2024/01/05,79.07,D,36.0,59.65,A,22.0,46.04,Unknown,15.0,79.8,Unknown,49.0,59.36,b,56.0,37.7,B,19.0,65.89, ,34.0,71.21,C,80.0,36.08,C,47.0,error,D,39.0,82.49,B,,17.47,A
1261,Kitty,Sphynx,12,7.16, WHITE,female,Yes,No,No,TOKYO,wet,Sick,2024-01-05,42.04,b,33.0,85.01,B,32.0,23.09, ,71.0,28.19,A,80.0,42.78,B,98.0,27.06,D,64.0,35.01,Unknown,47.0,49.29,C,79.0,53.1,D,5.0,38.19,b,68.0,37.74,C,9.0,21.03,a
1262,Oliver,RAGDOLL,2,4.19,Orange,Male,yes,No,Unknown,Tokyo,dry,Checkup Needed,Jan 5 2024,42.5,b,,59.74,a,91.0,43.66,B,85.0,48.41,A,60.0,67.37,b,51.0,33.49,D,96.0,unknown,C,71.0,,B,43.0,71.39,D,56.0,47.81, ,20.0,51.33,C,60.0,74.07,b
1263,Bella,Unknown,15,3.56,Gray,Female,N,,Yes,Berlin,Dry,Healthy,,36.14,b,38.0,75.03,a,81.0,69.78,Unknown,68.0,86.1,a,57.0,67.75,A,66.0,57.69,C,25.0,34.16,D,,66.02,a,,54.2,C,67.0,14.78,C,82.0,36.68,a,90.0,34.69,C
1264,Loki,Sphynx,17,3.51,,,Yes,NO,Unknown,Berlin,wet,SICK,,42.42,D,,49.72,a,,65.31,b,56.0,51.02,a,58.0,unknown,a,68.0,55.5,B,31.0,65.72,A,89.0,57.27,A,60.0,43.35,b,29.0,54.35,A,28.0,,D,5.0,37.21,B
1265,Chloe,,22,1.48,black ,M,N,Yes,No,,,healthy,2024/01/05,52.69,Unknown,70.0,73.52,D,24.0,21.54, ,53.0,35.83,C,52.0,54.61,b,25.0,10.64,b,71.0,49.92,Unknown,67.0,92.65,A,75.0,24.54,D,11.0,44.76,a,54.0,44.53,a,69.0,62.78, 
1266,Chloe,abyssinian,22,5.58,black ,female,Yes,Yes,No,Berlin,Wet,SICK,Jan 5 2024,83.57,Unknown,33.0,33.08,D,,34.25, ,65.0,61.29,B,49.0,75.71,D,99.0,17.83,B,96.0,22.07,D,10.0,51.19,A,55.0,62.03,Unknown,49.0,60.58,a,53.0,54.18,B,22.0,44.36,b
1267,Shadow,Sphynx ,1,3.72, WHITE,Male,N,No,Unknown,Paris,Wet,SICK,Jan 5 2024,26.07,B,,N/A,B,28.0,39.9,B,84.0,44.55,a,12.0,61.14, ,,83.86,Unknown,,15.37,a,65.0,45.57,C,18.0,63.42,B,24.0,62.06,A,10.0,60.31, ,65.0,16.77,D
1268,Milo,,16,4.4,Black,F,yes,NO,No,Tokyo,Wet,SICK,,35.27,C,75.0,73.78,C,52.0,55.11, ,,37.74,a,46.0,50.1, ,66.0,57.73,B,92.0,30.94,C,71.0,37.29,Unknown,52.0,55.61, ,50.0,98.19,B,78.0,44.49,b,29.0,75.6,D
1269,Bella, British Shorthair,-1,5.62,White,Unknown,no,,Unknown, london,Wet,healthy,,80.79,A,,71.29, ,93.0,50.72,C,23.0,79.83,a,54.0,37.77,A,6.0,85.79,b,,59.31,D,84.0,75.81, ,45.0,38.13,D,32.0,31.11,D,66.0,6.19,Unknown,40.0,25.36,b
1270,Shadow,Sphynx ,10,3.41,White,Unknown,Y,Yes,No,Sydney,Dry,,Jan 5 2024,56.87,b,45.0,63.74,C,,35.73,D,34.0,34.35,A,22.0,36.44,Unknown,80.0,58.07, ,,72.73,a,10.0,24.59,a,33.0,68.28, ,70.0,50.92,Unknown,19.0,31.03,b,76.0,48.82,C
1271,Loki,BENGAL,18,4.19,,,Y,NO,No,,Wet,SICK,2024/01/05,69.77,A,68.0,29.3,C,58.0,8.79, ,,72.85,B,49.0,87.37,b,7.0,61.56,D,84.0,48.27,Unknown,36.0,45.12,b,19.0,50.77,Unknown,,73.43,A,69.0,31.29,b,4.0,51.42, 
1272,Bella,,5,4.97,White,F,yes,Yes,No,New York,dry,healthy,,23.61,D,42.0,20.82,a,,61.98,B,2.0,19.15,C,86.0,48.84,D,65.0,26.45,a,,53.55,B,42.0,68.17,C,71.0,49.48,a,30.0,61.31,D,82.0,61.53,B,,49.65, 
1273,Simba, Abyssinian,20,4.32,White,Unknown,N,,No, london,Wet,,,55.26,C,,61.38, ,72.0,44.71,A,88.0,72.81,a,5.0,38.42,D,22.0,62.45,D,,61.71,Unknown,45.0,65.65, ,65.0,32.24,a,27.0,60.59,b,79.0,27.25,a,39.0,67.15,B
1274,Loki,Unknown,10,3.75,,M,N,YES,Unknown, london,Mixed,SICK,,34.66,a,25.0,63.27,B,42.0,34.16,Unknown,,75.65, ,63.0,38.09,a,2.0,44.53,A,76.0,55.17,a,31.0,39.45,D,67.0,71.73,a,28.0,62.98,A,98.0,77.03,a,84.0,41.51,a
1275,Loki, Siamese,22,4.14,Mixed,M,Yes,No,Yes,Tokyo,dry,Sick,Jan 5 2024,54.53,C,18.0,75.44, ,39.0,58.91,b,59.0,27.07,Unknown,6.0,49.71,b,23.0,39.86,D,5.0,48.52,a,18.0,47.96,Unknown,13.0,44.88,Unknown,64.0,69.57,B,30.0,38.62,b,,64.94,D
1276,Oliver,ragdoll,13,4.12,black ,M,No,NO,No,Berlin,,Healthy,,38.76,Unknown,87.0,47.94,Unknown,2.0,84.58,A,78.0,36.5,D,18.0,10.39,B,,73.95,a,13.0,62.41,b,56.0,40.2, ,90.0,76.8,b,63.0,79.65,C,38.0,34.03,A,32.0,33.84,C
1277,Lucy,Abyssinian,-2,5.98,Orange,F,Yes,YES,Unknown, london,,Sick,,43.9,B,63.0,60.44,B,69.0,60.2,B,87.0,12.41,D,95.0,43.7,B,33.0,46.93,C,12.0,73.45,C,54.0,45.81,a,,67.23,D,42.0,39.27,b,71.0,80.89,A,44.0,74.64,a
1278,Oliver,Unknown,-1,5.03,Orange,M,No,NO,, london,Dry,Healthy,,53.38,C,56.0,62.2,A,94.0,67.9,a,91.0,35.29,A,97.0,53.82,a,60.0,41.81,D,10.0,59.28,Unknown,,46.27,B,51.0,68.18,a,77.0,77.52,b,49.0,27.66,B,1.0,88.39, 
1279,Milo, Scottish Fold,11,3.5,,Male,yes,YES,Yes,New York,dry,Sick,2024-01-05,46.37, ,,13.45,D,50.0,76.68,C,82.0,60.91, ,32.0,35.11,Unknown,3.0,35.51, ,45.0,42.77,C,98.0,35.77,a,29.0,57.53,Unknown,38.0,81.93,Unknown,57.0,48.49,a,12.0,39.74, 
1280,Oreo,persian,-1,6.21,black ,Male,Yes,No,Unknown,Tokyo,dry,SICK,2024-01-05,64.01,a,77.0,64.69,b,,65.81,C,46.0,49.92,b,75.0,56.01,B,89.0,58.78,a,39.0,56.77,C,24.0,67.0,A,,48.91, ,36.0,48.32,A,55.0,49.58,Unknown,77.0,19.42,A
1281,Leo,SIAMESE,1,1.03,Mixed,F,no,Yes,Unknown,Paris,,SICK,,53.69, ,96.0,47.21,B,74.0,88.05,A,65.0,53.97,Unknown,,56.56,Unknown,28.0,20.06,B,90.0,29.44,Unknown,63.0,69.22,A,82.0,26.82,Unknown,52.0,47.16,Unknown,85.0,80.55,b,56.0,48.48,a
1282,Luna,,5,7.98,Black,Female,Yes,YES,,Toronto,,,05/01/2024,48.94,a,52.0,108.89,a,46.0,56.29,C,87.0,51.08,b,15.0,56.65,A,2.0,68.69, ,24.0,61.91,C,32.0,22.77,Unknown,,46.11,C,17.0,64.02,a,86.0,80.86,B,46.0,31.6,D
